travel_mode,TrvlTime_number,Age,indiv_trvl_frequency,HHVeh,HHsize
1,311.682,31,26,2,3
1,100.0,51,50,2,3
1,4079.0,37,6,1,6
1,1200.0,27,40,5,7
1,1141.0,63,44,2,2
1,1105.0,29,13,1,2
1,158.02,53,30,2,2
1,600.0,49,18,2,4
1,500.0,67,38,2,2
1,2051.278,27,50,2,3
1,700.0,54,32,2,3
1,200.0,43,24,2,5
1,1769.0,66,24,2,3
0,1492.0,54,6,1,3
1,681.0,39,28,1,1
0,529.0,73,10,0,1
1,1841.06406,60,28,2,4
1,3600.0,75,14,1,2
1,489.0,41,21,1,5
1,674.0,38,22,2,4
0,220.0,83,14,0,2
1,600.0,78,26,2,2
1,481.0,38,32,2,3
1,3000.0,48,16,1,2
1,1489.0,72,8,1,2
1,657.875,38,120,3,8
1,3914.0,22,12,2,5
1,683.0,37,28,1,3
0,300.0,52,14,0,9
1,1664.0,40,20,1,3
0,1200.0,59,10,1,3
1,400.0,67,22,2,2
1,1819.0,66,5,1,2
1,350.0,29,38,2,4
1,302.0,72,15,1,2
1,1646.943,44,62,2,4
1,1150.0,45,11,1,2
1,3120.0,43,18,2,4
1,960.0,25,24,3,3
0,400.0,82,20,0,2
1,878.0,58,24,2,4
1,1270.0,63,11,1,2
1,178.0,37,20,2,4
1,250.0,31,27,1,5
1,172.401,55,52,2,4
1,650.0,60,19,1,2
1,1897.537,20,24,2,3
1,4826.0,51,18,2,3
1,1800.0,56,10,2,5
1,576.589,36,26,1,4
1,3200.0,55,4,1,2
0,1062.0,21,7,0,1
1,688.0,35,18,2,2
0,658.0,17,18,2,3
1,720.0,27,15,1,2
1,760.0,62,90,2,2
1,112.0,48,93,3,5
1,108.707,59,35,1,1
0,1200.0,29,10,0,2
1,3300.0,62,90,2,2
0,844.0,58,3,0,2
1,1000.0,58,45,3,3
0,565.0,23,11,1,2
0,410.0,60,11,0,2
1,628.647,29,38,2,4
1,900.0,37,44,2,4
1,350.0,28,58,2,4
0,300.0,33,7,1,2
1,4487.063,50,50,2,6
1,1006.0,67,40,2,2
1,1080.0,70,7,1,1
0,300.0,36,32,1,4
1,840.0,37,28,2,4
1,259.924,40,40,2,4
1,452.481,55,52,2,4
1,375.0,18,80,4,7
1,4800.0,47,10,2,4
1,272.16798,52,69,3,6
1,120.0,35,22,2,4
1,7190.0,57,36,3,3
1,473.0,40,17,1,1
1,360.0,58,54,2,4
1,1086.0,33,24,2,2
1,744.0,30,20,2,3
